category,name,codesample_10#01,codesample_10#02,codesample_10#03,codesample_10#04,codesample_10#05,codesample_10#06,codesample_10#07,codesample_10#08,codesample_10#09,codesample_10#10
syntax,lit:null,0,0,0,0,0,0,0,0,0,1
syntax,lit:boolean,0,4,0,0,0,5,0,0,0,15
syntax,lit:int,31,13,34,19,2,0,5,20,13,11
syntax,lit:float,0,0,0,13,0,0,0,0,0,2
syntax,lit:string,26,13,10,0,7,16,6,0,13,2
syntax,lit:string-interp,0,0,0,0,2,0,0,0,0,0
syntax,lit:array,27,0,4,0,0,2,0,2,0,2
syntax,lit:object,0,0,1,0,0,0,0,0,0,1
syntax,expr:unary-minus,0,0,0,0,0,0,1,0,0,0
syntax,expr:length,3,0,1,0,0,0,0,0,1,0
syntax,expr:index-array,16,0,5,0,0,0,0,1,1,0
syntax,expr:index-object,0,0,6,0,0,0,0,0,0,0
syntax,expr:funcapp,10,10,8,16,4,5,3,10,14,14
syntax,stmt:assignment,17,6,14,7,0,2,3,2,11,1
syntax,stmt:assignment-to-index,5,0,0,0,0,0,0,0,0,0
syntax,stmt:increment,6,0,1,1,0,0,0,1,1,0
syntax,stmt:decrement,8,0,0,0,0,0,0,0,0,0
syntax,stmt:append,2,0,0,0,0,0,0,0,1,0
syntax,stmt:if,8,5,2,1,0,2,2,0,4,0
syntax,stmt:if-else,2,4,0,0,0,2,2,0,0,0
syntax,stmt:if-elif-nested,0,3,0,0,0,0,1,0,0,0
syntax,stmt:repeat,1,0,1,2,0,0,0,1,1,0
syntax,stmt:break,0,0,0,1,0,0,0,0,0,0
syntax,stmt:funcdef,1,2,3,2,3,2,1,1,1,0
syntax,stmt:funcdef-noarg,0,0,0,0,1,0,0,0,0,0
syntax,stmt:return,1,3,2,2,3,4,1,1,1,0
syntax,stmt:return-implicit,0,0,1,0,0,0,0,0,0,0
syntax,stmt:assert,6,9,10,8,4,5,3,3,6,14
syntax,stmt:import,1,1,1,1,1,1,1,1,1,1
syntax,stmt:pass,0,0,0,0,0,0,1,0,0,0
syntax,stmt:print-expression,0,0,0,0,0,0,0,2,0,0
syntax,cmp:==,6,0,0,0,0,0,1,0,0,0
syntax,cmp:!=,0,1,0,0,0,0,0,0,0,0
syntax,cmp:<,2,0,1,0,0,0,1,0,0,0
syntax,cmp:<=,0,0,0,0,0,0,0,0,2,0
syntax,cmp:>,0,0,1,0,0,0,0,0,0,0
syntax,cmp:>=,0,4,0,1,0,0,0,0,2,0
syntax,cmp:in,0,0,0,0,0,1,0,0,0,0
syntax,cmp:notin,0,0,0,0,0,1,0,0,0,0
stdlib,絶対値,0,0,0,0,0,0,0,0,0,0
stdlib,平方根,0,0,0,0,0,0,0,0,0,0
stdlib,乱数,0,0,0,0,0,0,0,1,0,0
stdlib,和,1,0,1,2,0,0,0,2,4,0
stdlib,差,2,0,0,0,0,0,0,0,2,0
stdlib,積,1,0,0,2,0,0,0,1,0,0
stdlib,商,0,0,1,0,0,0,0,0,0,0
stdlib,剰余,0,0,1,0,0,0,0,0,2,0
stdlib,最大値,0,0,0,0,0,0,0,0,0,0
stdlib,最小値,0,0,0,0,0,0,0,0,0,0
stdlib,ブール判定,0,0,0,0,0,0,0,0,0,2
stdlib,整数判定,0,0,0,0,0,0,0,0,0,3
stdlib,小数判定,0,0,0,0,0,0,0,0,0,2
stdlib,文字列判定,0,0,0,0,0,0,0,0,0,3
stdlib,配列判定,0,0,0,0,0,0,0,0,0,2
stdlib,オブジェクト判定,0,0,0,0,0,0,0,0,0,2
stdlib,整数化,0,0,0,0,0,0,0,1,0,0
stdlib,小数化,0,0,0,4,0,0,0,0,0,0
stdlib,文字列化,0,0,0,0,1,0,0,0,0,0
stdlib,配列化,0,0,0,0,0,0,0,0,0,0
