filename,char_count,token_count,model
apidoc_ja.md,3393,2598,claude-haiku-4-5
apidoc_ja_only.md,2493,1966,claude-haiku-4-5
codesample_10.md,8168,5260,claude-haiku-4-5
codesample_10plus_15.md,13416,8704,claude-haiku-4-5
codesample_13.md,9351,6148,claude-haiku-4-5
codesample_20.md,14959,9562,claude-haiku-4-5
codesample_all.md,28048,18407,claude-haiku-4-5
codesample_allplus_40.md,36219,23398,claude-haiku-4-5
codesample_full_45.md,41466,26842,claude-haiku-4-5
codesample_random10.md,9554,6255,claude-haiku-4-5
combined/apidoc_ja_only-codesample_10.md,10661,7220,claude-haiku-4-5
combined/apidoc_ja_only-codesample_all.md,30541,20367,claude-haiku-4-5
combined/apidoc_ja_only-codesample_full_45.md,43960,28802,claude-haiku-4-5
combined/ebnf_ja-codesample_10.md,12546,7179,claude-haiku-4-5
combined/ebnf_ja-codesample_all.md,32426,20326,claude-haiku-4-5
combined/ebnf_ja-codesample_full_45.md,45845,28761,claude-haiku-4-5
combined/guide_ja-codesample_10.md,14917,10121,claude-haiku-4-5
combined/guide_ja-codesample_all.md,34797,23268,claude-haiku-4-5
combined/guide_ja-codesample_full_45.md,48216,31703,claude-haiku-4-5
combined/hamari_codesample_10-codesample_10.md,11049,7211,claude-haiku-4-5
combined/hamari_codesample_all-codesample_all.md,31171,20494,claude-haiku-4-5
combined/pyguide_ja-codesample_10.md,17397,10940,claude-haiku-4-5
combined/pyguide_ja-codesample_all.md,37277,24087,claude-haiku-4-5
combined/pyguide_ja-codesample_full_45.md,50696,32522,claude-haiku-4-5
combined/rustguide_ja-codesample_10.md,19300,12079,claude-haiku-4-5
combined/rustguide_ja-codesample_all.md,39180,25226,claude-haiku-4-5
combined/rustguide_ja-codesample_full_45.md,52599,33661,claude-haiku-4-5
combined/spec_ja-codesample_10.md,12821,8922,claude-haiku-4-5
combined/spec_ja-codesample_all.md,32701,22069,claude-haiku-4-5
combined/spec_ja-codesample_full_45.md,46120,30504,claude-haiku-4-5
ebnf_ja.md,4378,1925,claude-haiku-4-5
guide_ja.md,6749,4867,claude-haiku-4-5
hamari_codesample_10.md,2881,1957,claude-haiku-4-5
hamari_codesample_all.md,3123,2093,claude-haiku-4-5
hamari_ja.md,5873,4212,claude-haiku-4-5
hamari_ja_edit.md,3614,2671,claude-haiku-4-5
pyguide_ja.md,9230,5686,claude-haiku-4-5
rustguide_ja.md,11133,6825,claude-haiku-4-5
spec_ja.md,4653,3668,claude-haiku-4-5
